Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments
,,4,Gambit34,9,22,31,1st,No (2.5),4th,22 (1),2nd,5 (3),3rd,1.409 (2),8.5,,13,0,1,4,5,6,2,0,18,Iron Man,Invisible Woman,Iron Man,Invisible Woman,First attempt,3,Galactus is brutal!
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,Professor Charles' Family Office Hours,1,GZUZROCKS & DaBomb,43,38,81,1st,Yes (2),1st,23 (2),1st,4 (2),1st,3.522 (2),8,,5,12,2,3,12,6,1,0,24,Luke Cage Noir,Iron Man Noir,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,difficult but fun. we went full noir to be thematic with the scenario and brought in iron man and luke cage noir. The many investigations paired well with daredevil. I can see how this scenario could go wildly wrong quick if scheme twists were drawn in succession....
,,2,Cobrawarrior521 & Cobrev,22,38,60,2nd,No (1),2nd,19 (1),2nd,8 (1),2nd,3.158 (1),4,,16,16,2,3,16,1,1,1,24,Jean Grey,Luke Cage Noir,Jean Grey,Luke Cage Noir,First attempt,2,That was rough...
,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
