Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Difference,Bystanders Rescued,Cards Left in Villain Deck,,,,,,,Attempt 1 Hero Choices,,Attempt 2 Hero Choices,,Attempt Submitted,Fun Level,Comments,
,,,,,,,,,,,,,,,,,,,Strikes,Twists,Villains,Henchmen,Bystanders,Other,Total,1,2,1,2,,,,
,,,,,,,Rank,Points,Rank,Points,Rank,Points,Rank,Points,,,,,,,,,,,,,,,,,,,
,,,,Upper Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Gideon Wyatt & Wife,95,21,116,1st,Yes (4.5),1st,36 (5.5),5th,5 (2),4th,3.222 (3),15,,74,12,1,0,3,1,2,2,9,Doctor Strange Supreme,Black Panther (MCU),I did not play a second attempt.,I did not play a second attempt.,First attempt,5,"We decided to go with MCU Black Panther to really focus on the multiclass cards and Empower for player 2 and MCU Dr Strange and Dr Strange Supreme for the other player. Black Panther and T'Challa struggled to get going and had a bloated deck that caused trouble getting good turns. The Dr. S combo however was great! Supreme's Break an Absolute Point cleared my deck and let me ensure What If... activated. Soulbind made it so i could permanantly bury the Zombies and because they were powerful MM level villians, Supreme's rare let me basically draw a whole extra hand when I played it. I was able to get my deck thin enough to draw my full 15ish card deck 3 turns in a row and hit Thanos multiple times each turn. Super fun game and glad I got to use Supreme Dr Strange the way he was intended.",
,,5,Brentcampbell9790,66,65,131,5th,No (1.5),5th,42 (2),1st,2 (5),5th,3.119 (2),10.5,,1,13,0,0,0,0,0,0,0,Black Panther (MCU),Black Panther,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,Fun game but had trouble at the start and never really found my footing.,
,,6,dontfeedthegreen,4,12,16,5th,No (1.5),6th,17 (1),6th,6 (1),6th,0.941 (1),4.5,,8,5,4,2,9,6,3,4,28,Lady Thor,Doctor Strange Supreme,Doctor Strange Supreme,Lady Thor,First attempt,3,"Tough set up! You can’t leave anything in the city, but they’re all super tough! My second attempt went even worse. Both games started out with the Time Gem in the first few turns, just to add extra pressure!",
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7,Beneath the Shield,1,GZUZROCKS & DaBomb,28,36,64,1st,Yes (3),1st,26 (3),1st,0 (3),1st,2.462 (3),12,,8,1,2,2,7,3,1,0,15,Cloak & Dagger,Mockingbird,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,I like how this integrates iron man from civil war to be the mastermind on a villain map. Enjoyable play!,
,,2,Pervavita & Catswifti,39,51,90,2nd,No (1.5),2nd,41 (1.5),3rd,3 (1),2nd,2.195 (2),6,,12,5,0,0,0,0,0,0,0,Mockingbird,Green Goblin,Mockingbird,Green Goblin,Second attempt,3,"It was a frustrating experience, both games we played we had the same results; we ran the villain deck out without being able to really hit the MM more than a few times. The henchmen became huge early preventing us from hitting 2+ villains a turn most turns and making Iron Man nearly impossible to hit without getting lucky. 
Both games our Rares were unable to be picked up due to Thor coming out and KOing them. ",
,,3,Montax30,57,27,84,2nd,No (1.5),2nd,41 (1.5),2nd,2 (2),3rd,2.049 (1),6,,30,2,0,0,0,0,0,0,0,Deathlok,Mockingbird,I did not play a second attempt.,I did not play a second attempt.,First attempt,1,Stupid Iron Spider,
,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,Justitiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
