Pod,Setup,Rank,Name(s),"Victory
Pile 1","Victory
Pile 2","Total
VP",Win?,,Turns,,Escaped Villains,,Points per Turn,,Total Rank Points,,VP Diff.,"By-
standers
rescued","Hero Choice 1
(Attempt 1)","Hero Choice 2
(Attempt 1)","Hero Choice 1
(Attempt 2)","Hero Choice 2
(Attempt 2)","Attempt
Used",Fun Level (no slash),Fun Level,Comments
,,6,Canis & Mamabird,24,30,54,1st,Yes (5),4th,30 (5.5),1st,0 (7.5),9th,1.8 (1),19,,6,0,Lady Sif,Warlock,Lady Sif,Warlock,Second attempt,4,4/5,"bad first game, did well on game two"
,,6,Coldvein & Raja0629,12,34,46,1st,Yes (5),2nd,23 (8),7th,2 (2),6th,2 (4),19,,22,0,Man-Thing,Karma,I did not play a second attempt.,I did not play a second attempt.,First attempt,4,4/5,"Quick game but, quite challenging."
,,8,sethlikespizza & heheheath,43,30,73,1st,Yes (5),6th,32 (3),7th,2 (2),3rd,2.281 (7),17,,13,1,Mirage,Psi-Lord,Mirage,Psi-Lord,Second attempt,4,4/5,Was close to losing but we did it!
,,9,GamerGump & kendycrow,28,41,69,1st,Yes (5),9th,35 (1),7th,2 (2),7th,1.971 (3),11,,13,1,Warlock,Psi-Lord,Wolfsbane,Lady Sif,Second attempt,2,2/5,"Very challenging, everything making you discard non-gray just drained what could have been very good turns to nothing. Also the damn  fenris wolf."
,,-,nate the dawg & Emily,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
16,Mr. Sinister's Secret Invasion of the Skrull Shapeshifters,1,Techfiend,23,56,79,1st,Yes (4.5),2nd,23 (6),1st,0 (6.5),1st,3.435 (8),25,,33,20,Jean Grey,Wolverine (X-Force),Jean Grey,Bishop,Second attempt,4,4/5,"This setup felt like it limited VP available. With the heroes in the villain deck, along with twists, forced the use of attacks to generate 0 VP. Jean Grey was tailor made to defeat Mr. Sinister, and she sure did that here. My first attempt went very heavy on card draw, and came very close to my second attempt, but I had an unlucky escape early."
,,2,kata124,32,29,61,1st,Yes (4.5),1st,21 (8),1st,0 (6.5),4th,2.905 (5),24,,3,12,Black Widow,Bishop,Black Widow,Bishop,Second attempt,4,4/5,Fun!
,,3,Zhoud,12,58,70,1st,Yes (4.5),2nd,23 (6),5th,1 (3.5),2nd,3.043 (7),21,,46,16,Black Widow,Jean Grey,Black Widow,Jean Grey,Second attempt,5,5/5,Always have fun playing with Iceman. Got ran over at the start of game 1 with the city quickly filling with 6-7 power villains.
,,4,AntDude,42,14,56,1st,Yes (4.5),2nd,23 (6),1st,0 (6.5),7th,2.435 (2),19,,28,7,Forge,Storm,I did not play a second attempt.,I did not play a second attempt.,First attempt,3,3/5,"Iceman is just sooooo powerful, and even easier to build when his rare and uncommons dropped in the city as Skrulls"
,,5,FlipFlopManiac,41,38,79,1st,Yes (4.5),6th,26 (3),5th,1 (3.5),3rd,3.038 (6),17,,3,20,Black Widow,Jean Grey,Black Widow,Jean Grey,Second attempt,5,5/5,"MCU side was Iceman/Jean Grey ranged/draw silliness, Comic side was Iron Man/Black Widow draw/rescue/Covert Ops silliness.  Second attempt was slightly faster and had more villains than heroes come out of the villain deck, unfortunately 
both had one escape."
,,6,Bmcaleer,37,43,80,1st,Yes (4.5),8th,31 (1),1st,0 (6.5),5th,2.581 (4),16,,6,24,Cyclops,Jean Grey,Cyclops,Jean Grey,Second attempt,5,5/5,Fun setup. Once you get going with the ranged attack from iceman and cyclops then keep rescuing bystanders with Jean grey and have griot give you extra cards it’s a lock.
,,7,D4Waterfall,55,9,64,1st,Yes (4.5),5th,25 (4),8th,5 (1),6th,2.56 (3),12.5,,46,14,Black Widow,Forge,Black Widow,Forge,First attempt,5,5/5,"Huge deck; draw everything game plan! A bit bummed my first play through had such a big gap between Player 1/2, but still chose it for the quick win. The second one was a ton of fun getting powerful cards, saving bystanders left and right and at the end out drawing my deck. 28 bystanders saved on play through two. I can just picture Black Widow patting baby Groot on the head at the end saying. ""Good job little guy."""
,,8,jpilger,40,19,59,1st,Yes (4.5),7th,27 (2),7th,2 (2),8th,2.185 (1),9.5,,21,10,Nightcrawler,Gamora,Nightcrawler,Gamora,First attempt,4,4/5,This was another really fun scenario.  One of my favorite parts of the tournament is having to think through who to include on the team.
,,-,illmatic,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
,,-,Adrian Miller,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
,,-,Swagolas,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,-,-
